company_id,year,ROE,EPS,OPM,Performance_Score
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
PFC,2022,26.18,42.0,31.0,32.372
TATASTEEL,2022,36.48,33.0,26.0,32.291999999999994
POWERGRID,2015,13.13,5.0,85.0,32.252
POWERGRID,2015,13.13,5.0,85.0,32.252
HCLTECH,2023,22.7,55.0,22.0,32.18
ADANIENSOL,2018,18.87,10.0,72.0,32.147999999999996
INFY,2021,25.44,45.0,28.0,32.076
TRENT,2024,36.31,42.0,16.0,31.924000000000003
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
ADANIPORTS,2016,21.15,14.0,64.0,31.86
DRREDDY,2023,19.35,54.0,26.0,31.740000000000002
LICI,2022,36.38,57.0,0.0,31.652
POWERGRID,2014,13.11,5.0,83.0,31.644
POWERGRID,2014,13.11,5.0,83.0,31.644
LODHA,2019,42.8,21.0,27.0,31.520000000000003
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
ADANIPORTS,2018,17.65,18.0,63.0,31.36
GRASIM,2017,13.53,66.0,20.0,31.212
DIVISLAB,2014,26.08,29.0,40.0,31.131999999999998
DIVISLAB,2024,11.79,60.0,28.0,31.116
GRASIM,2013,19.22,57.0,21.0,31.087999999999997
IRCTC,2023,40.6,13.0,36.0,30.939999999999998
HCLTECH,2022,21.84,50.0,24.0,30.936
ADANIGREEN,2024,12.81,7.0,79.0,30.924
TECHM,2022,20.94,57.0,18.0,30.875999999999998
TECHM,2022,20.94,57.0,18.0,30.875999999999998
M&M,2018,21.64,60.0,14.0,30.855999999999998
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
ADANIPORTS,2015,21.59,11.0,63.0,30.836
DIVISLAB,2015,24.37,32.0,38.0,30.747999999999998
DIVISLAB,2017,19.79,40.0,36.0,30.716
IRCTC,2022,35.29,8.0,47.0,30.616
ADANIPOWER,2023,35.91,28.0,26.0,30.564
