company_id,year,return_on_equity_pct
NHPC,2013,9.64
BAJAJHLDNG,2022,9.63
TATAPOWER,2022,9.61
HINDALCO,2024,9.57
HINDALCO,2019,9.56
TATAMOTORS,2018,9.53
CIPLA,2020,9.52
ADANIENSOL,2024,9.46
AMBUJACEM,2017,9.41
BANKBARODA,2015,9.4
ULTRACEMCO,2023,9.34
GAIL,2015,9.29
JSWENERGY,2020,9.28
NHPC,2018,9.27
TATACONSUM,2013,9.25
TORNTPHARM,2019,9.23
SUNPHARMA,2020,9.22
NHPC,2019,9.21
ICICIBANK,2020,9.13
NHPC,2015,9.1
TRENT,2015,9.07
UNIONBANK,2014,9.05
TATASTEEL,2014,9.04
DMART,2021,9.02
CANBK,2015,9.02
IRFC,2019,9.01
TECHM,2024,8.99
TECHM,2024,8.99
ADANIENT,2015,8.93
NAUKRI,2014,8.93
UNIONBANK,2015,8.9
LODHA,2024,8.9
RELIANCE,2020,8.88
CANBK,2014,8.85
CANBK,2022,8.799999999999999
TATACONSUM,2014,8.72
RELIANCE,2022,8.7
BANKBARODA,2022,8.64
GAIL,2023,8.62
GAIL,2017,8.58
ADANIENT,2024,8.53
HINDALCO,2013,8.51
HDFCLIFE,2022,8.5
ULTRACEMCO,2018,8.43
JINDALSTEL,2014,8.39
IOC,2023,8.38
SHREECEM,2024,8.37
MARUTI,2021,8.36
TATAPOWER,2017,8.32
ADANIENSOL,2020,8.309999999999999
ICICIPRULI,2022,8.290000000000001
JSWENERGY,2024,8.28
ADANIGREEN,2021,8.27
CIPLA,2017,8.25
ICICIBANK,2018,8.23
TATACONSUM,2023,8.110000000000001
SIEMENS,2020,8.1
SHREECEM,2015,8.07
ICICIPRULI,2023,8.06
JSWENERGY,2023,7.94
TATACONSUM,2018,7.91
AMBUJACEM,2015,7.870000000000001
TATASTEEL,2023,7.829999999999999
IRFC,2017,7.779999999999999
SUNPHARMA,2019,7.75
ICICIPRULI,2024,7.73
JSWSTEEL,2015,7.73
