company_id,year,sales,operating_profit,opm_percentage
NHPC,2022.0,9144.0,4013.0,44.0
JSWENERGY,2022.0,8167.0,3572.0,44.0
SUNPHARMA,2014.0,16080.0,7003.0,44.0
DIVISLAB,2022.0,8960.0,3885.0,43.0
SUNPHARMA,2013.0,11131.0,4784.0,43.0
BHARTIARTL,2020.0,87539.0,36610.0,42.0
ATGL,2021.0,1696.0,704.0,42.0
JSWENERGY,2021.0,6922.0,2913.0,42.0
DLF,2017.0,8221.0,3446.0,42.0
TORNTPHARM,2016.0,6687.0,2733.0,41.0
JSWENERGY,2016.0,9824.0,4029.0,41.0
DIVISLAB,2021.0,6969.0,2867.0,41.0
DLF,2016.0,9926.0,3966.0,40.0
DIVISLAB,2014.0,2532.0,1018.0,40.0
ADANIENSOL,2021.0,9926.0,3950.0,40.0
JSWENERGY,2017.0,8263.0,3324.0,40.0
DLF,2015.0,7649.0,3014.0,39.0
JSWENERGY,2015.0,9347.0,3624.0,39.0
ITC,2020.0,49388.0,19344.0,39.0
DIVISLAB,2013.0,2145.0,816.0,38.0
ITC,2018.0,43449.0,16521.0,38.0
DIVISLAB,2019.0,4946.0,1874.0,38.0
ADANIENSOL,2019.0,7305.0,2778.0,38.0
ITC,2019.0,48340.0,18537.0,38.0
JSWENERGY,2014.0,8648.0,3255.0,38.0
DIVISLAB,2015.0,3115.0,1173.0,38.0
DIVISLAB,2016.0,3776.0,1423.0,38.0
PFC,2024.0,91508.0,33573.0,37.0
ITC,2016.0,39192.0,14531.0,37.0
ITC,2015.0,38817.0,14252.0,37.0
ITC,2024.0,70866.0,26233.0,37.0
ITC,2014.0,35306.0,13080.0,37.0
BAJAJFINSV,2024.0,110382.0,40886.0,37.0
ADANIENSOL,2020.0,11416.0,4258.0,37.0
ADANIENSOL,2022.0,11258.0,4206.0,37.0
BHARTIARTL,2017.0,95468.0,35330.0,37.0
ITC,2017.0,42768.0,15470.0,36.0
PFC,2014.0,21407.0,7607.0,36.0
ADANIPOWER,2024.0,50351.0,18228.0,36.0
ADANIPOWER,2022.0,27711.0,9881.0,36.0
DIVISLAB,2017.0,4064.0,1450.0,36.0
BAJAJFINSV,2023.0,82072.0,29868.0,36.0
IRCTC,2023.0,3541.0,1276.0,36.0
JSWENERGY,2020.0,8273.0,2957.0,36.0
BHARTIARTL,2018.0,82639.0,30079.0,36.0
ITC,2023.0,70919.0,25704.0,36.0
BAJAJFINSV,2017.0,24507.0,8713.0,36.0
BHARTIARTL,2015.0,96101.0,33602.0,35.0
BHARTIARTL,2016.0,96532.0,33984.0,35.0
ITC,2021.0,49257.0,17065.0,35.0
DLF,2018.0,6707.0,2378.0,35.0
PFC,2013.0,17314.0,5987.0,35.0
ITC,2013.0,31618.0,11221.0,35.0
BAJAJFINSV,2019.0,42605.0,15037.0,35.0
ADANIPOWER,2016.0,25377.0,8802.0,35.0
ADANIENSOL,2023.0,13293.0,4518.0,34.0
BAJAJFINSV,2020.0,54351.0,18258.0,34.0
IRCTC,2024.0,4270.0,1466.0,34.0
PFC,2015.0,24988.0,8429.0,34.0
JSWENERGY,2018.0,8049.0,2713.0,34.0
VEDL,2022.0,132732.0,44824.0,34.0
DLF,2013.0,7773.0,2633.0,34.0
DIVISLAB,2020.0,5394.0,1826.0,34.0
ITC,2022.0,60645.0,20623.0,34.0
PFC,2023.0,77684.0,26501.0,34.0
PFC,2019.0,54106.0,17783.0,33.0
DIVISLAB,2018.0,3891.0,1269.0,33.0
BAJAJFINSV,2018.0,32862.0,10788.0,33.0
ADANIPOWER,2021.0,26221.0,8688.0,33.0
BAJAJFINSV,2016.0,20533.0,6739.0,33.0
PFC,2016.0,27861.0,9162.0,33.0
DLF,2024.0,6427.0,2124.0,33.0
HAL,2024.0,30381.0,9749.0,32.0
SUNPHARMA,2017.0,31578.0,10102.0,32.0
JSWENERGY,2013.0,8870.0,2801.0,32.0
ONGC,2016.0,124036.0,39135.0,32.0
ATGL,2020.0,1875.0,595.0,32.0
JINDALSTEL,2021.0,34579.0,10933.0,32.0
BAJAJFINSV,2021.0,60592.0,19641.0,32.0
JSWENERGY,2023.0,10332.0,3282.0,32.0
BHARTIARTL,2019.0,80780.0,25764.0,32.0
DIVISLAB,2023.0,7767.0,2370.0,31.0
TCS,2014.0,81809.0,25153.0,31.0
JINDALSTEL,2013.0,19807.0,6106.0,31.0
EICHERMOT,2018.0,8965.0,2809.0,31.0
EICHERMOT,2017.0,7033.0,2174.0,31.0
BHARTIARTL,2014.0,85864.0,26512.0,31.0
PFC,2022.0,76262.0,23338.0,31.0
VEDL,2021.0,88021.0,27318.0,31.0
BAJAJFINSV,2022.0,68406.0,21455.0,31.0
IRCTC,2020.0,2264.0,703.0,31.0
SHRIRAMFIN,2013.0,7009.0,2179.0,31.0
TORNTPHARM,2024.0,10728.0,3368.0,31.0
NTPC,2021.0,111531.0,34044.0,31.0
JSWENERGY,2019.0,9138.0,2855.0,31.0
TORNTPHARM,2021.0,8005.0,2480.0,31.0
SHREECEM,2021.0,13560.0,4091.0,30.0
TORNTPHARM,2023.0,9620.0,2842.0,30.0
ADANIPOWER,2014.0,15328.0,4593.0,30.0
NTPC,2022.0,132669.0,40362.0,30.0
BHARTIARTL,2013.0,76947.0,22960.0,30.0
ADANIENSOL,2024.0,16607.0,5711.0,30.0
VEDL,2014.0,66152.0,19595.0,30.0
DLF,2023.0,5695.0,1726.0,30.0
VEDL,2015.0,73710.0,22114.0,30.0
VEDL,2017.0,72225.0,21376.0,30.0
JINDALSTEL,2014.0,19286.0,5799.0,30.0
DLF,2022.0,5717.0,1743.0,30.0
DLF,2014.0,8298.0,2493.0,30.0
EICHERMOT,2019.0,9797.0,2904.0,30.0
JINDALSTEL,2022.0,51166.0,15515.0,30.0
NTPC,2024.0,178501.0,51456.0,29.0
SUNPHARMA,2015.0,27392.0,7894.0,29.0
TORNTPHARM,2022.0,8508.0,2431.0,29.0
INFY,2013.0,40352.0,11538.0,29.0
SHREECEM,2013.0,5418.0,1561.0,29.0
SHREECEM,2020.0,12868.0,3771.0,29.0
SUNPHARMA,2016.0,28487.0,8174.0,29.0
SHREECEM,2017.0,8594.0,2513.0,29.0
SHRIRAMFIN,2023.0,30492.0,8799.0,29.0
SHRIRAMFIN,2024.0,36388.0,10523.0,29.0
NTPC,2020.0,109464.0,31586.0,29.0
TCS,2013.0,62989.0,18040.0,29.0
NAUKRI,2022.0,1589.0,446.0,28.0
INFY,2021.0,100472.0,27889.0,28.0
NAUKRI,2024.0,2536.0,711.0,28.0
PFC,2021.0,71656.0,19871.0,28.0
INFY,2015.0,53319.0,14883.0,28.0
SHRIRAMFIN,2018.0,13502.0,3805.0,28.0
SUNPHARMA,2024.0,48497.0,13018.0,28.0
JINDALSTEL,2015.0,19401.0,5464.0,28.0
DRREDDY,2024.0,28011.0,7933.0,28.0
TCS,2022.0,191754.0,53057.0,28.0
DIVISLAB,2024.0,7845.0,2210.0,28.0
TCS,2021.0,164177.0,46546.0,28.0
TCS,2016.0,108646.0,30677.0,28.0
ONGC,2014.0,174121.0,49130.0,28.0
ZYDUSLIFE,2024.0,19547.0,5384.0,28.0
LODHA,2019.0,11907.0,3179.0,27.0
NTPC,2023.0,176207.0,47596.0,27.0
TCS,2017.0,117966.0,32311.0,27.0
HCLTECH,2021.0,75379.0,20048.0,27.0
VEDL,2018.0,91866.0,24877.0,27.0
EICHERMOT,2016.0,6173.0,1690.0,27.0
ADANIPOWER,2018.0,20304.0,5436.0,27.0
JSWSTEEL,2022.0,146371.0,39114.0,27.0
INFY,2016.0,62441.0,17079.0,27.0
INFY,2017.0,68484.0,18604.0,27.0
SUNPHARMA,2022.0,38654.0,10258.0,27.0
TORNTPHARM,2020.0,7939.0,2170.0,27.0
ATGL,2018.0,1374.0,366.0,27.0
SUNPHARMA,2023.0,43886.0,11650.0,27.0
TCS,2020.0,156949.0,42109.0,27.0
TCS,2019.0,146463.0,39506.0,27.0
DLF,2021.0,5414.0,1469.0,27.0
TCS,2024.0,240893.0,64296.0,27.0
INFY,2018.0,70522.0,18822.0,27.0
INFY,2014.0,50133.0,13390.0,27.0
