company_id,year,eps
ICICIGI,2016.0,11.0
VEDL,2024.0,11.0
ADANIENSOL,2023.0,11.0
ADANIENSOL,2022.0,11.0
WIPRO,2022.0,11.0
UNITDSPR,2022.0,11.0
AMBUJACEM,2018.0,11.0
AMBUJACEM,2019.0,11.0
ITC,2021.0,11.0
TITAN,2021.0,11.0
ADANIPORTS,2015.0,11.0
HINDALCO,2014.0,11.0
TVSMOTOR,2017.0,11.0
ADANIPORTS,2015.0,11.0
IRCTC,2017.0,11.0
BPCL,2015.0,11.0
SUNPHARMA,2019.0,11.0
JSWENERGY,2022.0,11.0
BHARTIARTL,2016.0,11.0
BAJAJFINSV,2015.0,11.0
HAVELLS,2018.0,11.0
SHRIRAMFIN,2014.0,11.0
BRITANNIA,2013.0,11.0
POWERGRID,2019.0,11.0
CANBK,2015.0,11.0
DRREDDY,2018.0,11.0
DLF,2024.0,11.0
NTPC,2017.0,11.0
NTPC,2018.0,11.0
COALINDIA,2018.0,11.0
NTPC,2016.0,11.0
NAUKRI,2016.0,11.0
WIPRO,2024.0,11.0
ICICIPRULI,2018.0,11.0
ICICIPRULI,2015.0,11.0
ICICIPRULI,2014.0,11.0
ICICIPRULI,2013.0,11.0
ADANIENSOL,2021.0,11.0
ADANIENSOL,2018.0,10.0
UNITDSPR,2019.0,10.0
NESTLEIND,2016.0,10.0
AMBUJACEM,2014.0,10.0
NTPC,2015.0,10.0
ITC,2019.0,10.0
DABUR,2024.0,10.0
DABUR,2023.0,10.0
DABUR,2022.0,10.0
DABUR,2021.0,10.0
GAIL,2019.0,10.0
CANBK,2014.0,10.0
LODHA,2018.0,10.0
SBILIFE,2017.0,10.0
BHEL,2014.0,10.0
WIPRO,2023.0,10.0
WIPRO,2021.0,10.0
SHRIRAMFIN,2017.0,10.0
TATAPOWER,2023.0,10.0
TATACONSUM,2022.0,10.0
BAJAJFINSV,2014.0,10.0
BAJAJFINSV,2013.0,10.0
JSWENERGY,2024.0,10.0
ONGC,2016.0,10.0
ADANIENSOL,2024.0,10.0
ADANIENT,2020.0,10.0
PIDILITIND,2015.0,10.0
APOLLOHOSP,2021.0,10.0
TVSMOTOR,2016.0,9.0
ITC,2018.0,9.0
TITAN,2015.0,9.0
JSWENERGY,2016.0,9.0
UNITDSPR,2020.0,9.0
UNITDSPR,2018.0,9.0
TATAPOWER,2019.0,9.0
SUNPHARMA,2018.0,9.0
GODREJCP,2015.0,9.0
BPCL,2014.0,9.0
JSWENERGY,2023.0,9.0
TATACONSUM,2021.0,9.0
POWERGRID,2018.0,9.0
TATASTEEL,2019.0,9.0
GAIL,2023.0,9.0
GAIL,2021.0,9.0
HAVELLS,2013.0,9.0
LODHA,2020.0,9.0
LODHA,2012.0,9.0
WIPRO,2020.0,9.0
ADANIENT,2017.0,9.0
SHRIRAMFIN,2016.0,9.0
ADANIENT,2016.0,9.0
CHOLAFIN,2017.0,9.0
ONGC,2020.0,9.0
TATAPOWER,2018.0,9.0
PIDILITIND,2014.0,9.0
ICICIPRULI,2019.0,8.0
ADANIENT,2021.0,8.0
HAVELLS,2017.0,8.0
UNIONBANK,2017.0,8.0
IOC,2016.0,8.0
UNIONBANK,2022.0,8.0
DABUR,2019.0,8.0
DABUR,2020.0,8.0
ADANIPORTS,2014.0,8.0
ITC,2017.0,8.0
ADANIPORTS,2013.0,8.0
DABUR,2018.0,8.0
IRCTC,2022.0,8.0
ZYDUSLIFE,2014.0,8.0
ADANIPORTS,2013.0,8.0
PIDILITIND,2013.0,8.0
PNB,2024.0,8.0
HINDALCO,2017.0,8.0
ADANIPORTS,2014.0,8.0
SBILIFE,2015.0,8.0
BANKBARODA,2017.0,8.0
SHRIRAMFIN,2015.0,8.0
ICICIGI,2013.0,8.0
SBILIFE,2016.0,8.0
GODREJCP,2016.0,8.0
BHARTIARTL,2015.0,8.0
ITC,2016.0,8.0
APOLLOHOSP,2018.0,8.0
AMBUJACEM,2017.0,8.0
TITAN,2014.0,8.0
ITC,2015.0,8.0
TITAN,2017.0,8.0
TITAN,2016.0,8.0
JSWENERGY,2015.0,8.0
GODREJCP,2013.0,8.0
TATACONSUM,2018.0,8.0
POWERGRID,2017.0,8.0
NAUKRI,2014.0,8.0
TITAN,2013.0,8.0
DMART,2017.0,8.0
DLF,2023.0,8.0
NAUKRI,2013.0,8.0
